model,client,horizon,rmse,mae,mean_actual,nmae,nrmse
ARIMA,313,24,26444.4963,18124.3275,160037.5,0.11325050378817464,0.16523937389674295
ARIMA,313,48,32491.3555,24466.9417,162718.75,0.1503633828308047,0.19967800576147496
ARIMA,313,168,75005.7824,60149.5274,185339.88095238095,0.32453634420675015,0.4046931616367613
ARIMA,155,24,12619.8472,9086.5775,68197.625,0.13323891411174507,0.1850481919275048
ARIMA,155,48,14311.5965,10623.9542,67988.39583333333,0.1562612865001779,0.21050057623191212
ARIMA,155,168,19508.7622,15582.1832,72612.46428571429,0.2145937801902369,0.26866960640858095
ARIMA,236,24,3982.448,3375.5369,46083.291666666664,0.07324860655389381,0.08641847958271211
ARIMA,236,48,4312.9957,3638.9604,45068.8125,0.08074231820507807,0.09569801068088937
ARIMA,236,168,5817.8192,5024.2746,45445.32142857143,0.11055647626779119,0.1280180009100418
ARIMA,167,24,4400.263,3535.1221,22328.791666666668,0.15832124517859042,0.19706677663927924
ARIMA,167,48,4638.6646,3926.3014,22571.5625,0.173949029891041,0.2055092375638594
ARIMA,167,168,5428.6884,4861.4179,23553.589285714286,0.2063981774085084,0.2304824260178726
ARIMA,186,24,8626.3524,6200.7369,21295.75,0.2911725062512473,0.40507389502600283
ARIMA,186,48,7903.1878,6155.1956,21867.0,0.28148331275437877,0.36142076187862987
ARIMA,186,168,8486.4589,7503.5762,22300.440476190477,0.3364765914830852,0.3805511783079236
ARIMA,315,24,14075.5977,10682.6592,15169.458333333334,0.7042215328497227,0.9278905937643346
ARIMA,315,48,13902.5345,10665.2248,15534.0625,0.6865702259148243,0.8949709388641895
ARIMA,315,168,13923.3118,10809.2737,15138.630952380952,0.7140192355570933,0.9197206698410326
ARIMA,290,24,6377.1511,4641.3652,11255.541666666666,0.412362668759463,0.5665787830439081
ARIMA,290,48,6397.0367,4717.6786,11390.9375,0.4141606957285123,0.5615900096019313
ARIMA,290,168,6825.7544,5212.35,11793.77380952381,0.4419577723112579,0.5787591410722163
ARIMA,179,24,1999.5766,1803.1631,10713.291666666666,0.1683108381722082,0.18664446579210406
ARIMA,179,48,2257.9417,2063.4303,10727.625,0.19234735554234977,0.21047917875578237
ARIMA,179,168,3463.1657,3161.8806,10976.940476190477,0.2880475308086324,0.31549462325242417
ARIMA,119,24,254.284,198.2487,10409.708333333334,0.019044596990789846,0.024427581624525182
ARIMA,119,48,316.0512,251.9561,10531.104166666666,0.02392494614168742,0.030011212024696685
ARIMA,119,168,452.3174,377.1044,10688.47619047619,0.03528139963823967,0.042318230582113356
ARIMA,314,24,1734.5741,1329.2545,7330.25,0.1813382217523277,0.23663232495481054
ARIMA,314,48,1749.5586,1361.9872,7309.6875,0.18632632379975206,0.23934793382070027
ARIMA,314,168,2154.1915,1699.3262,8043.922619047619,0.21125591088806323,0.26780360801817993
ARIMA,317,24,28.1659,26.256,45.041666666666664,0.5829269195189639,0.6253298797409806
ARIMA,317,48,30.4068,27.67,39.375,0.7027301587301588,0.7722361904761905
ARIMA,317,168,30.3037,24.6012,42.642857142857146,0.5769125628140703,0.7106395309882746
ARIMA,240,24,123.9802,102.6588,966.75,0.10618960434445307,0.12824432376519265
ARIMA,240,48,160.5392,135.1772,969.9375,0.1393669179715188,0.16551499452284296
ARIMA,240,168,202.7533,178.9563,990.9107142857143,0.18059780504946746,0.20461308680686957
ARIMA,26,24,46.2588,40.4721,289.5833333333333,0.13975976978417265,0.15974261870503598
ARIMA,26,48,59.6282,45.669,299.625,0.15242052565707132,0.19900942845223196
ARIMA,26,168,58.7579,47.7744,302.7261904761905,0.15781389751858113,0.1940958590585552
ARIMA,203,24,139.1615,118.0254,737.2916666666666,0.16007966092116419,0.1887468776490534
ARIMA,203,48,149.4395,127.4179,739.875,0.17221544179760095,0.20197938841020444
ARIMA,203,168,164.3341,145.0325,764.1607142857143,0.1897931904750777,0.21505175145467717
ARIMA,134,24,247.3244,175.0417,380.2083333333333,0.4603836493150685,0.6504970520547946
ARIMA,134,48,257.0018,177.4167,382.25,0.46413786788750816,0.6723395683453237
ARIMA,134,168,235.3796,163.9226,318.80357142857144,0.5141805634907298,0.7383217162381672
ARIMA,133,24,1281.2744,1103.1613,10882.916666666666,0.10136632796048854,0.11773262988628969
ARIMA,133,48,1249.2229,1084.4691,10897.291666666666,0.09951730514080334,0.11463608924235763
ARIMA,133,168,1532.9554,1269.395,10532.994047619048,0.12051606544740648,0.1455384283964843
ARIMA,220,24,98.0969,84.1976,643.375,0.13086862249854284,0.15247235282688945
ARIMA,220,48,96.1647,81.674,650.0208333333334,0.12564828050383,0.14794095061055734
ARIMA,220,168,99.6041,84.1668,677.3988095238095,0.12424999692450989,0.14703908332820753
ARIMA,29,24,103.7663,91.7293,181.33333333333334,0.5058601102941176,0.572240625
ARIMA,29,48,122.5644,99.3664,202.95833333333334,0.4895901457606241,0.603889468281667
ARIMA,29,168,118.2883,100.7297,152.20833333333334,0.6617883383520393,0.7771473309608541
ARIMA,62,24,53.5491,45.3509,157.625,0.28771387787470265,0.3397246629659001
ARIMA,62,48,55.8309,48.6967,158.25,0.30772006319115325,0.35280189573459714
ARIMA,62,168,52.6099,44.2414,158.75595238095238,0.27867553522552585,0.3313885193656031
ARIMA,269,24,38.805,33.8281,303.375,0.11150589204779562,0.12791100123609395
ARIMA,269,48,36.6164,31.2952,306.0,0.10227189542483661,0.11966143790849673
ARIMA,269,168,54.3117,41.4001,304.9761904761905,0.13574862986962294,0.17808504957451793
XGBoost,313,24,34511.4602,25910.1636,160037.5,0.16190057705225339,0.21564608419901587
XGBoost,313,48,42585.3843,32948.6447,162718.75,0.20248831004417128,0.261711599308623
XGBoost,313,168,82748.575,68055.5597,185339.88095238095,0.3671932848466941,0.44646934364471963
XGBoost,155,24,7086.9303,5568.7241,68197.625,0.0816556896226225,0.10391755284733156
XGBoost,155,48,8297.7386,5866.8,67988.39583333333,0.08629119613855674,0.12204639480450556
XGBoost,155,168,13007.6978,9927.6914,72612.46428571429,0.13672158764556852,0.17913863587961334
XGBoost,236,24,2908.0847,2384.5699,46083.291666666664,0.05174478240938735,0.06310496917266652
XGBoost,236,48,3952.4408,3173.4168,45068.8125,0.0704127005786984,0.08769791305240181
XGBoost,236,168,5201.1445,4229.6404,45445.32142857143,0.09307097556011189,0.1144484038510958
XGBoost,167,24,2536.5577,1900.6348,22328.791666666668,0.0851203606703602,0.11360031200374701
XGBoost,167,48,2703.156,2039.3623,22571.5625,0.09035095820238409,0.11975936535186697
XGBoost,167,168,3441.5215,2896.796,23553.589285714286,0.1229874548995793,0.14611452455305188
XGBoost,186,24,3999.5121,2841.3528,21295.75,0.13342346712372188,0.18780799455290376
XGBoost,186,48,3490.7915,2544.549,21867.0,0.11636479626834957,0.15963742168564501
XGBoost,186,168,4744.6118,3776.9269,22300.440476190477,0.16936557392364127,0.212758658514646
XGBoost,315,24,4638.8532,3268.9666,15169.458333333334,0.2154965937588411,0.3058021649861152
XGBoost,315,48,5591.2602,4064.851,15534.0625,0.26167340320666277,0.35993547727775654
XGBoost,315,168,6628.4399,5367.4633,15138.630952380952,0.35455407539053746,0.4378493617322445
XGBoost,290,24,1599.8297,1328.425,11255.541666666666,0.11802408443248326,0.14213706877723195
XGBoost,290,48,1940.3695,1628.8516,11390.9375,0.142995394365038,0.17034326630270774
XGBoost,290,168,3173.3319,2494.276,11793.77380952381,0.21149091378925725,0.2690684043336022
XGBoost,179,24,2014.7096,1551.2108,10713.291666666666,0.1447931082494876,0.18805701017816653
XGBoost,179,48,2121.306,1611.7298,10727.625,0.15024106454131275,0.19774237074841822
XGBoost,179,168,2524.2221,1934.6807,10976.940476190477,0.17624953913127409,0.2299567994811634
XGBoost,119,24,369.6433,338.7548,10409.708333333334,0.032542198988924596,0.03550947713072332
XGBoost,119,48,484.1442,430.0631,10531.104166666666,0.040837417728831066,0.04597278617112403
XGBoost,119,168,497.046,454.0443,10688.47619047619,0.042479797111263574,0.04650298051305812
XGBoost,314,24,1512.6007,1172.4304,7330.25,0.1599441219603697,0.2063504928208451
XGBoost,314,48,1891.4047,1522.3341,7309.6875,0.20826254200333463,0.25875315463212345
XGBoost,314,168,2818.9609,2286.5561,8043.922619047619,0.28425883841616595,0.35044604896183823
XGBoost,317,24,17.8635,14.315,45.041666666666664,0.3178168362627197,0.39659944495837185
XGBoost,317,48,18.8359,13.3419,39.375,0.3388419047619048,0.47837206349206346
XGBoost,317,168,17.4725,11.5354,42.642857142857146,0.2705118927973199,0.4097403685092127
XGBoost,240,24,64.7862,50.0895,966.75,0.0518122575640031,0.06701442979053529
XGBoost,240,48,95.2095,71.0495,969.9375,0.07325162703782459,0.09816044848250532
XGBoost,240,168,131.1954,95.4463,990.9107142857143,0.09632179632733234,0.13239881061793804
XGBoost,26,24,31.441,26.4656,289.5833333333333,0.091392,0.10857323741007195
XGBoost,26,48,40.4463,29.4853,299.625,0.09840734251147266,0.13498973717146434
XGBoost,26,168,40.2469,32.1659,302.7261904761905,0.10625410358252389,0.132948193007983
XGBoost,203,24,88.3961,66.5606,737.2916666666666,0.0902771630404069,0.11989298671941227
XGBoost,203,48,100.0024,76.3847,739.875,0.10324000675789828,0.13516120966379455
XGBoost,203,168,108.8667,86.7875,764.1607142857143,0.11357231322879908,0.1424657116818171
XGBoost,134,24,110.3721,86.1997,380.2083333333333,0.22671701917808224,0.29029374246575346
XGBoost,134,48,112.5279,86.359,382.25,0.22592282537606279,0.2943829954218444
XGBoost,134,168,120.2794,90.6752,318.80357142857144,0.2844234134319162,0.37728372822494816
XGBoost,133,24,1011.8494,879.4662,10882.916666666666,0.08081162678509897,0.0929759393544929
XGBoost,133,48,1103.2417,961.5573,10897.291666666666,0.0882381906819355,0.10123999005869196
XGBoost,133,168,1177.8724,950.7507,10532.994047619048,0.0902640498705033,0.1118269311341968
XGBoost,220,24,77.0818,56.875,643.375,0.08840101029726054,0.1198085098115407
XGBoost,220,48,87.5798,66.2958,650.0208333333334,0.10199026954264286,0.13473383545399187
XGBoost,220,168,117.404,91.7681,677.3988095238095,0.1354713039199318,0.17331592313032168
XGBoost,29,24,65.6674,50.6155,181.33333333333334,0.27912959558823525,0.3621363970588235
XGBoost,29,48,81.9663,60.5122,202.95833333333334,0.2981508519811127,0.4038577704783412
XGBoost,29,168,85.8167,66.5663,152.20833333333334,0.4373367643033123,0.5638107856556255
XGBoost,62,24,21.1212,17.3574,157.625,0.11011831879460744,0.13399651070578908
XGBoost,62,48,27.1254,22.4587,158.25,0.14191911532385465,0.1714085308056872
XGBoost,62,168,28.5572,23.8208,158.75595238095238,0.15004665741816953,0.1798811293164861
XGBoost,269,24,35.6611,29.0285,303.375,0.09568520807581377,0.11754791924186238
XGBoost,269,48,38.6117,32.2144,306.0,0.10527581699346404,0.12618202614379084
XGBoost,269,168,60.9372,44.0084,304.9761904761905,0.14430110078850808,0.19980969630728393
LSTM,313,24,15623.693,12622.3044,160037.5,0.07887091712879794,0.09762520034366945
LSTM,313,48,17945.6473,14335.4564,162718.75,0.08809959761859035,0.1102862903015172
