client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,arima_order,seasonal_order
313,24,699311382.8874,18124.3275,26444.4963,14.44,0.007,"(2, 1, 3)","(0, 0, 0, 0)"
313,48,1055688179.1595,24466.9417,32491.3555,14.44,0.0044,"(2, 1, 3)","(0, 0, 0, 0)"
313,168,5625867389.1553,60149.5274,75005.7824,14.44,0.0031,"(2, 1, 3)","(0, 0, 0, 0)"
155,24,159260542.3367,9086.5775,12619.8472,16.99,0.0026,"(4, 1, 2)","(0, 0, 0, 0)"
155,48,204821794.9708,10623.9542,14311.5965,16.99,0.0036,"(4, 1, 2)","(0, 0, 0, 0)"
155,168,380591800.6603,15582.1832,19508.7622,16.99,0.0089,"(4, 1, 2)","(0, 0, 0, 0)"
236,24,15859892.2981,3375.5369,3982.448,6.62,0.0019,"(3, 0, 2)","(0, 0, 0, 0)"
236,48,18601931.8537,3638.9604,4312.9957,6.62,0.0009,"(3, 0, 2)","(0, 0, 0, 0)"
236,168,33847020.0556,5024.2746,5817.8192,6.62,0.006,"(3, 0, 2)","(0, 0, 0, 0)"
167,24,19362314.195,3535.1221,4400.263,16.72,0.0025,"(5, 0, 4)","(0, 0, 0, 0)"
167,48,21517209.387,3926.3014,4638.6646,16.72,0.0011,"(5, 0, 4)","(0, 0, 0, 0)"
167,168,29470657.2499,4861.4179,5428.6884,16.72,0.002,"(5, 0, 4)","(0, 0, 0, 0)"
186,24,74413955.375,6200.7369,8626.3524,13.31,0.0026,"(3, 1, 2)","(0, 0, 0, 0)"
186,48,62460377.1915,6155.1956,7903.1878,13.31,0.0025,"(3, 1, 2)","(0, 0, 0, 0)"
186,168,72019984.7933,7503.5762,8486.4589,13.31,0.007,"(3, 1, 2)","(0, 0, 0, 0)"
315,24,198122451.7633,10682.6592,14075.5977,4.21,0.0042,"(1, 1, 0)","(0, 0, 0, 0)"
315,48,193280465.9389,10665.2248,13902.5345,4.21,0.001,"(1, 1, 0)","(0, 0, 0, 0)"
315,168,193858610.327,10809.2737,13923.3118,4.21,0.0039,"(1, 1, 0)","(0, 0, 0, 0)"
290,24,40668056.4036,4641.3652,6377.1511,12.57,0.0021,"(1, 1, 3)","(0, 0, 0, 0)"
290,48,40922078.5434,4717.6786,6397.0367,12.57,0.0029,"(1, 1, 3)","(0, 0, 0, 0)"
290,168,46590923.6679,5212.35,6825.7544,12.57,0.0061,"(1, 1, 3)","(0, 0, 0, 0)"
179,24,3998306.4305,1803.1631,1999.5766,12.31,0.0062,"(2, 1, 2)","(0, 0, 0, 0)"
179,48,5098300.7033,2063.4303,2257.9417,12.31,0.001,"(2, 1, 2)","(0, 0, 0, 0)"
179,168,11993516.9932,3161.8806,3463.1657,12.31,0.0019,"(2, 1, 2)","(0, 0, 0, 0)"
119,24,64660.3726,198.2487,254.284,30.3,0.0063,"(3, 1, 5)","(0, 0, 0, 0)"
119,48,99888.3441,251.9561,316.0512,30.3,0.0033,"(3, 1, 5)","(0, 0, 0, 0)"
119,168,204590.9971,377.1044,452.3174,30.3,0.0167,"(3, 1, 5)","(0, 0, 0, 0)"
314,24,3008747.3265,1329.2545,1734.5741,17.55,0.0029,"(2, 0, 5)","(0, 0, 0, 0)"
314,48,3060955.3293,1361.9872,1749.5586,17.55,0.001,"(2, 0, 5)","(0, 0, 0, 0)"
314,168,4640540.9596,1699.3262,2154.1915,17.55,0.0019,"(2, 0, 5)","(0, 0, 0, 0)"
317,24,793.3199,26.256,28.1659,13.0,0.0025,"(3, 0, 2)","(0, 0, 0, 0)"
317,48,924.5739,27.67,30.4068,13.0,0.0015,"(3, 0, 2)","(0, 0, 0, 0)"
317,168,918.3165,24.6012,30.3037,13.0,0.0024,"(3, 0, 2)","(0, 0, 0, 0)"
240,24,15371.0827,102.6588,123.9802,4.35,0.0036,"(2, 0, 1)","(0, 0, 0, 0)"
240,48,25772.8265,135.1772,160.5392,4.35,0.001,"(2, 0, 1)","(0, 0, 0, 0)"
240,168,41108.906,178.9563,202.7533,4.35,0.0019,"(2, 0, 1)","(0, 0, 0, 0)"
26,24,2139.8723,40.4721,46.2588,14.14,0.0021,"(5, 1, 1)","(0, 0, 0, 0)"
26,48,3555.521,45.669,59.6282,14.14,0.001,"(5, 1, 1)","(0, 0, 0, 0)"
26,168,3452.493,47.7744,58.7579,14.14,0.002,"(5, 1, 1)","(0, 0, 0, 0)"
203,24,19365.9256,118.0254,139.1615,3.65,0.0024,"(2, 0, 1)","(0, 0, 0, 0)"
203,48,22332.1575,127.4179,149.4395,3.65,0.0011,"(2, 0, 1)","(0, 0, 0, 0)"
203,168,27005.6899,145.0325,164.3341,3.65,0.0019,"(2, 0, 1)","(0, 0, 0, 0)"
134,24,61169.375,175.0417,247.3244,2.14,0.0022,"(0, 1, 0)","(0, 0, 0, 0)"
134,48,66049.9167,177.4167,257.0018,2.14,0.0028,"(0, 1, 0)","(0, 0, 0, 0)"
134,168,55403.5417,163.9226,235.3796,2.14,0.0121,"(0, 1, 0)","(0, 0, 0, 0)"
133,24,1641663.9866,1103.1613,1281.2744,20.25,0.0026,"(3, 1, 3)","(0, 0, 0, 0)"
133,48,1560557.8963,1084.4691,1249.2229,20.25,0.001,"(3, 1, 3)","(0, 0, 0, 0)"
133,168,2349952.1642,1269.395,1532.9554,20.25,0.0019,"(3, 1, 3)","(0, 0, 0, 0)"
220,24,9623.0046,84.1976,98.0969,7.52,0.0024,"(3, 0, 2)","(0, 0, 0, 0)"
220,48,9247.6502,81.674,96.1647,7.52,0.001,"(3, 0, 2)","(0, 0, 0, 0)"
220,168,9920.986,84.1668,99.6041,7.52,0.0019,"(3, 0, 2)","(0, 0, 0, 0)"
29,24,10767.4527,91.7293,103.7663,1.67,0.0009,"(2, 0, 0)","(0, 0, 0, 0)"
29,48,15022.0209,99.3664,122.5644,1.67,0.0028,"(2, 0, 0)","(0, 0, 0, 0)"
29,168,13992.1186,100.7297,118.2883,1.67,0.0055,"(2, 0, 0)","(0, 0, 0, 0)"
62,24,2867.5063,45.3509,53.5491,6.35,0.002,"(0, 1, 2)","(0, 0, 0, 0)"
62,48,3117.0913,48.6967,55.8309,6.35,0.001,"(0, 1, 2)","(0, 0, 0, 0)"
62,168,2767.7986,44.2414,52.6099,6.35,0.0019,"(0, 1, 2)","(0, 0, 0, 0)"
269,24,1505.8251,33.8281,38.805,12.68,0.0045,"(3, 0, 3)","(0, 0, 0, 0)"
269,48,1340.7578,31.2952,36.6164,12.68,0.0028,"(3, 0, 3)","(0, 0, 0, 0)"
269,168,2949.7627,41.4001,54.3117,12.68,0.0021,"(3, 0, 3)","(0, 0, 0, 0)"
