model_a,model_b,horizon,n_clients,mean_diff,median_diff,rel_diff_pct,ci_low,ci_high,ci_crosses_zero,pct_clients_a_better,wilcoxon_p
iTransformer,LSTM,24,20,-330.39006499999994,4.660150000000002,-19.295036230118704,-1012.6182257499999,82.82286475000001,True,45.0,0.8694877624511719
iTransformer,LSTM,48,20,-287.0986700000001,1.384450000000026,-15.663376216720858,-849.8901305000002,51.266318624999975,True,45.0,0.6742229461669922
iTransformer,LSTM,168,20,36.8361650000002,10.87935,1.1080628172965694,-90.0419408750001,155.0645480000005,True,40.0,0.2773551940917969
TabPFN-TS,iTransformer,24,20,-228.92056499999995,-15.775149999999996,-16.565447835541107,-558.3168986250001,22.029964874999944,True,75.0,0.029575347900390625
TabPFN-TS,iTransformer,48,20,-182.26207499999992,-11.806799999999999,-11.790556341540563,-415.2784457499999,31.744439874999966,True,80.0,0.029575347900390625
TabPFN-TS,iTransformer,168,20,236.64519999999985,5.563049999999997,7.04047373016701,20.835900875000046,521.2003846249997,False,30.0,0.04844093322753906
TabPFN-TS,LSTM,24,20,-559.3106300000001,-2.883900000000004,-32.66417490411075,-1533.02536475,30.06789612500002,True,60.0,0.2305126190185547
TabPFN-TS,LSTM,48,20,-469.36074499999995,-1.140249999999999,-25.60713336044148,-1231.3456486249997,31.256750624999807,True,55.00000000000001,0.36827659606933594
TabPFN-TS,LSTM,168,20,273.481365,23.8336,8.22654941902909,-12.419940750000006,626.3475121249999,True,35.0,0.08969497680664062
iTransformer,SeasonalNaive,24,20,141.16478020194947,7.116666490913112,11.37736431018592,-183.951424249049,572.0285588387954,True,45.0,1.0
iTransformer,SeasonalNaive,48,20,93.90478773646748,11.435036101513056,6.46760055320382,-97.94595536651984,354.1629468645623,True,40.0,0.5705966949462891
iTransformer,SeasonalNaive,168,20,17.760021691644454,14.697014316449316,0.5311882874032072,-216.82355061234585,200.79763431295453,True,35.0,0.24548721313476562
LSTM,SeasonalNaive,24,20,471.55484520194943,5.677560331396833,38.005593593676096,-40.17304310889918,1155.0412443797477,True,45.0,0.5958194732666016
LSTM,SeasonalNaive,48,20,381.00345773646757,-4.898820131284048,26.241241085005868,-68.34005411235822,1000.3826100628133,True,60.0,1.0
LSTM,SeasonalNaive,168,20,-19.076143308355736,2.614045159598902,-0.5705524503379922,-346.9124534595116,255.0841939890426,True,45.0,0.6215133666992188
XGBoost,SeasonalNaive,24,20,1894.3699002019493,71.16327597747818,152.67927638901588,369.5335673774402,4431.352367232264,False,15.0,6.29425048828125e-05
XGBoost,SeasonalNaive,48,20,2286.250922736467,162.97454324167248,157.4632996791369,450.61196836222166,5441.577997077072,False,5.0,8.20159912109375e-05
XGBoost,SeasonalNaive,168,20,2990.2586916916434,229.03821731175304,89.43628678559149,628.7088252976234,7069.107201596555,False,5.0,8.20159912109375e-05
ARIMA,SeasonalNaive,24,20,2892.99748020195,326.40211033139684,233.16500216002825,1058.8869163031904,5040.309445715067,False,5.0,6.29425048828125e-05
ARIMA,SeasonalNaive,48,20,3072.9906677364675,291.3504842531646,211.64923133013204,1052.236168908093,5536.402559568649,False,5.0,8.20159912109375e-05
ARIMA,SeasonalNaive,168,20,3837.3261966916443,422.6826964880619,114.77140996888957,1226.3066082097985,7375.650803386054,False,5.0,8.20159912109375e-05
TabPFN-TS,SeasonalNaive,24,20,-87.75578479805048,-0.358227404874623,-7.07279487521851,-629.804382502564,403.49969635341967,True,50.0,0.7011814117431641
TabPFN-TS,SeasonalNaive,48,20,-88.35728726353247,3.480686101513057,-6.085521875508034,-371.1770810379109,202.85304340599228,True,45.0,0.5705966949462891
TabPFN-TS,SeasonalNaive,168,20,254.40522169164424,34.24673026948831,7.609060189402563,44.2276550393472,528.8642198248916,False,25.0,0.029575347900390625
XGBoost,ARIMA,24,20,-998.62758,-54.979699999999994,-24.157917323006462,-2443.2853935000007,440.871027875,True,85.0,0.005580902099609375
XGBoost,ARIMA,48,20,-786.739745,-57.3834,-17.38683308145099,-2237.9235663749996,810.8739059999994,True,80.0,0.021484375
XGBoost,ARIMA,168,20,-847.067505,-63.51265,-11.796320183849396,-2119.267035,479.9524873749989,True,75.0,0.021484375
