model,horizon,mean,median,q25,q75,iqr,nmae_mean,nmae_median
ARIMA,24,4133.748645,767.7792,102.34895,4894.485025,4792.136075,0.24205820344838164,0.1592004530498773
ARIMA,48,4524.91688,782.63705,115.96447500000001,5078.257625,4962.29315,0.2550873739686856,0.17308223584432098
ARIMA,168,7180.777494999999,992.6364000000001,113.61725000000001,6069.803,5956.18575,0.29116999019633444,0.21292484553915006
LSTM,24,1712.3060099999998,467.04150000000004,46.552425,943.906925,897.3545,0.0820306590889339,0.05906123474262881
LSTM,48,1832.92967,485.61085,50.63865,1208.95055,1158.3119,0.08900134852300015,0.05958128600949261
LSTM,168,3324.375155,629.0608,56.7953,1636.8919,1580.0966,0.10284813972932723,0.08454136626125942
SeasonalNaive,24,1240.7511647980505,369.5408581904785,42.19384929498228,1024.4656232294358,982.2717739344534,0.08448547185518075,0.05002413807846796
SeasonalNaive,48,1451.9262122635323,621.7979103898331,58.903500508762136,1452.7046904786434,1393.8011899698813,0.08278613798305115,0.06025141176493452
SeasonalNaive,168,3343.451298308356,717.3341260489391,62.32703403991302,1904.0337877244883,1841.7067536845752,0.09074728821577219,0.06801910225039545
TabPFN-TS,24,1152.99538,329.9289,35.430675,1010.5573750000001,975.1267000000001,0.09252361495578816,0.04687556761978555
TabPFN-TS,48,1363.568925,389.9412,40.3726,1606.128025,1565.755425,0.09803619822128468,0.0524824773802645
TabPFN-TS,168,3597.85652,685.31935,66.5192,1905.7083750000002,1839.1891750000002,0.14418346054978337,0.08110396382329477
XGBoost,24,3135.1210650000003,690.74635,65.4471,2629.43945,2563.99235,0.13084030099273397,0.1029017634352106
XGBoost,48,3738.1771349999995,793.69295,86.17642500000001,2900.064875,2813.88845,0.1472577867022756,0.1108203066309068
XGBoost,168,6333.70999,837.4592,103.10419999999999,3767.294075,3664.189875,0.1893437718191205,0.1471738791033388
iTransformer,24,1381.9159450000002,460.8114,43.322825,1052.4581,1009.1352750000001,0.10205006365989955,0.06512362515616844
iTransformer,48,1545.831,492.6056,45.690775,1173.18755,1127.496775,0.10899159368241115,0.06450361362474322
iTransformer,168,3361.21132,669.77055,61.91255,1789.0977249999999,1727.1851749999998,0.13497827093775047,0.08133598157029391
