client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec
313,24,87685459.3078,7131.5133,9364.0514,1096.9,0.004273
313,48,163555766.3437,9497.9862,12788.8923,1096.9,0.004273
313,168,1784601344.2695,29196.5243,42244.5422,1096.9,0.004273
155,24,17424599.6362,2990.0532,4174.2783,1096.9,0.004273
155,48,16234805.8697,3008.1663,4029.2438,1096.9,0.004273
155,168,70702106.2062,5713.3889,8408.4544,1096.9,0.004273
236,24,37822056.018,4857.7186,6149.9639,1096.9,0.004273
236,48,24280473.0688,3666.3002,4927.522,1096.9,0.004273
236,168,17633179.1861,3363.5299,4199.1879,1096.9,0.004273
167,24,655767.7495,621.8173,809.7949,1096.9,0.004273
167,48,899304.6898,719.0622,948.3168,1096.9,0.004273
167,168,3158270.9224,1278.1564,1777.1525,1096.9,0.004273
186,24,1766531.8745,1032.584,1329.1094,1096.9,0.004273
186,48,3084473.1456,1404.7135,1756.2668,1096.9,0.004273
186,168,3330381.9506,1420.8325,1824.9334,1096.9,0.004273
315,24,2967925.2881,1191.5365,1722.7668,1096.9,0.004273
315,48,5481969.3654,1620.8828,2341.3606,1096.9,0.004273
315,168,5052904.5818,1611.3417,2247.8667,1096.9,0.004273
290,24,838820.9418,770.5399,915.8717,1096.9,0.004273
290,48,775245.6997,737.7712,880.4804,1096.9,0.004273
290,168,2368987.9846,990.5432,1539.1517,1096.9,0.004273
179,24,799744.2951,745.4507,894.2842,1096.9,0.004273
179,48,712045.8771,697.6081,843.8281,1096.9,0.004273
179,168,729486.1278,682.0851,854.0996,1096.9,0.004273
119,24,41605.9948,161.3769,203.9755,1096.9,0.004273
119,48,96795.6396,252.2901,311.12,1096.9,0.004273
119,168,235653.4562,393.3089,485.4415,1096.9,0.004273
314,24,922062.8664,729.9547,960.241,1096.9,0.004273
314,48,958103.8595,761.55,978.8278,1096.9,0.004273
314,168,3039220.9537,1125.389,1743.3362,1096.9,0.004273
317,24,1375.3897,26.9274,37.0862,1096.9,0.004273
317,48,1083.2683,23.6831,32.913,1096.9,0.004273
317,168,974.8911,23.3282,31.2232,1096.9,0.004273
240,24,4907.0833,48.2649,70.0506,1096.9,0.004273
240,48,4313.4903,46.7624,65.6772,1096.9,0.004273
240,168,4672.8747,53.4015,68.3584,1096.9,0.004273
26,24,1149.2913,29.5472,33.9012,1096.9,0.004273
26,48,1827.9774,31.8388,42.7549,1096.9,0.004273
26,168,1645.0872,32.5079,40.5597,1096.9,0.004273
203,24,1434.6196,31.4462,37.8764,1096.9,0.004273
203,48,1556.7868,29.5222,39.4561,1096.9,0.004273
203,168,3550.3704,44.878,59.585,1096.9,0.004273
134,24,7970.6572,69.2886,89.2785,1096.9,0.004273
134,48,9080.5215,75.8979,95.2918,1096.9,0.004273
134,168,18636.9693,97.7641,136.5173,1096.9,0.004273
133,24,515017.6553,625.0533,717.6473,1096.9,0.004273
133,48,454398.9537,558.9492,674.0912,1096.9,0.004273
133,168,1869338.1988,981.0521,1367.2374,1096.9,0.004273
220,24,2044.9594,39.7532,45.2212,1096.9,0.004273
220,48,2178.0293,39.7236,46.6694,1096.9,0.004273
220,168,3929.8298,50.3123,62.6884,1096.9,0.004273
29,24,2037.4679,38.6762,45.1383,1096.9,0.004273
29,48,4987.576,56.1842,70.6228,1096.9,0.004273
29,168,7549.4749,67.6921,86.8877,1096.9,0.004273
62,24,208.0313,11.6085,14.4233,1096.9,0.004273
62,48,413.2985,15.2995,20.3297,1096.9,0.004273
62,168,338.1391,14.3088,18.3886,1096.9,0.004273
269,24,545.6338,17.6981,23.3588,1096.9,0.004273
269,48,526.9441,17.4951,22.9553,1096.9,0.004273
269,168,818.796,20.1563,28.6146,1096.9,0.004273
