client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec
313,24,244099782.3699,12622.3044,15623.693,133.21,0.004347
313,48,322046255.5262,14335.4564,17945.6473,133.21,0.004347
313,168,1731831147.0631,30545.7511,41615.2754,133.21,0.004347
155,24,15009288.2333,3382.1615,3874.1823,185.88,0.003979
155,48,18077734.5061,3696.485,4251.7919,185.88,0.003979
155,168,70912663.3956,5963.1482,8420.9657,185.88,0.003979
236,24,49024711.741,5264.0627,7001.7649,177.18,0.004294
236,48,30972335.6283,4012.0532,5565.2795,177.18,0.004294
236,168,24565957.3783,3977.1643,4956.4057,177.18,0.004294
167,24,386857.3157,470.2102,621.9785,283.27,0.004369
167,48,346238.0518,462.0153,588.42,283.27,0.004369
167,168,1956301.6909,926.3073,1398.6786,283.27,0.004369
186,24,426649.9243,584.7218,653.1844,290.33,0.004209
186,48,1531157.2401,939.2917,1237.3994,290.33,0.004209
186,168,2157386.6987,1114.7295,1468.8045,290.33,0.004209
315,24,5213234.0461,1636.7604,2283.2508,219.54,0.004264
315,48,7984848.6017,1906.2577,2825.7474,219.54,0.004264
315,168,6768986.8013,1857.2189,2601.7277,219.54,0.004264
290,24,730803.7451,622.4033,854.8706,273.13,0.004311
290,48,774958.2123,639.7079,880.3171,273.13,0.004311
290,168,2651934.2752,1104.0068,1628.4761,273.13,0.004311
179,24,409106.9929,468.5555,639.6147,203.63,0.004364
179,48,305133.5155,425.0783,552.3889,203.63,0.004364
179,168,511002.0048,559.5401,714.844,203.63,0.004364
119,24,97409.2008,225.4398,312.1045,132.15,0.004385
119,48,175420.9302,333.6837,418.8328,132.15,0.004385
119,168,295150.5973,456.8594,543.2776,132.15,0.004385
314,24,1466559.5985,917.8571,1211.0159,238.37,0.004382
314,48,1438722.5212,843.3568,1199.4676,238.37,0.004382
314,168,2762706.9089,1095.3969,1662.1393,238.37,0.004382
317,24,168.7624,10.257,12.9909,123.87,0.00421
317,48,237.9344,11.2609,15.4251,123.87,0.00421
317,168,193.6845,10.0223,13.9171,123.87,0.00421
240,24,5565.7255,55.1168,74.6038,265.44,0.004201
240,48,3978.0307,47.2563,63.0716,265.44,0.004201
240,168,4706.6848,55.843,68.6053,265.44,0.004201
26,24,2432.9961,40.2845,49.3254,353.93,0.004362
26,48,2296.2348,39.387,47.919,353.93,0.004362
26,168,3263.6887,45.5607,57.1287,353.93,0.004362
203,24,2822.9842,44.4735,53.1318,212.29,0.004317
203,48,2656.9096,42.4989,51.5452,212.29,0.004317
203,168,5277.6736,57.516,72.6476,212.29,0.004317
134,24,6519.8612,66.9775,80.7457,354.16,0.0043
134,48,6247.1305,63.4907,79.0388,354.16,0.0043
134,168,4997.8783,53.1966,70.6957,354.16,0.0043
133,24,650287.3791,685.8574,806.404,106.29,0.004271
133,48,659883.6264,672.6018,812.3322,106.29,0.004271
133,168,1121926.3916,915.9471,1059.2103,106.29,0.004271
220,24,1461.8033,28.741,38.2335,204.11,0.003985
220,48,1359.3503,29.0124,36.8694,204.11,0.003985
220,168,1531.8283,28.637,39.1386,204.11,0.003985
29,24,975.3044,25.4185,31.2299,221.86,0.004194
29,48,3732.8636,46.4893,61.0972,221.86,0.004194
29,168,3113.0979,40.1766,55.7951,221.86,0.004194
62,24,146.1843,9.1111,12.0907,265.28,0.004367
62,48,197.0765,10.2395,14.0384,265.28,0.004367
62,168,194.2129,10.0576,13.936,265.28,0.004367
269,24,137.0058,8.9804,11.7049,300.18,0.004368
269,48,143.1528,9.098,11.9646,300.18,0.004368
269,168,667.4017,14.1678,25.8341,300.18,0.004368
