model,client_id,horizon,RMSE,MAE,train_time_sec,inference_time_sec
SeasonalNaive-Point,313,24,15900.0,15900.0,0.0,0.0
SeasonalNaive-Point,313,48,27200.0,27200.0,0.0,0.0
SeasonalNaive-Point,313,168,89000.0,89000.0,0.0,0.0
SeasonalNaive-Point,155,24,3583.0,3583.0,0.0,0.0
SeasonalNaive-Point,155,48,6084.0,6084.0,0.0,0.0
SeasonalNaive-Point,155,168,3667.0,3667.0,0.0,0.0
SeasonalNaive-Point,236,24,5514.0,5514.0,0.0,0.0
SeasonalNaive-Point,236,48,3535.0,3535.0,0.0,0.0
SeasonalNaive-Point,236,168,2283.0,2283.0,0.0,0.0
SeasonalNaive-Point,167,24,26.0,26.0,0.0,0.0
SeasonalNaive-Point,167,48,547.0,547.0,0.0,0.0
SeasonalNaive-Point,167,168,160.0,160.0,0.0,0.0
SeasonalNaive-Point,186,24,1788.0,1788.0,0.0,0.0
SeasonalNaive-Point,186,48,1263.0,1263.0,0.0,0.0
SeasonalNaive-Point,186,168,2368.0,2368.0,0.0,0.0
SeasonalNaive-Point,315,24,4501.0,4501.0,0.0,0.0
SeasonalNaive-Point,315,48,5454.0,5454.0,0.0,0.0
SeasonalNaive-Point,315,168,386.0,386.0,0.0,0.0
SeasonalNaive-Point,290,24,523.0,523.0,0.0,0.0
SeasonalNaive-Point,290,48,1056.0,1056.0,0.0,0.0
SeasonalNaive-Point,290,168,1036.0,1036.0,0.0,0.0
SeasonalNaive-Point,179,24,544.0,544.0,0.0,0.0
SeasonalNaive-Point,179,48,847.0,847.0,0.0,0.0
SeasonalNaive-Point,179,168,647.0,647.0,0.0,0.0
SeasonalNaive-Point,119,24,1323.0,1323.0,0.0,0.0
SeasonalNaive-Point,119,48,1218.0,1218.0,0.0,0.0
SeasonalNaive-Point,119,168,810.0,810.0,0.0,0.0
SeasonalNaive-Point,314,24,2067.0,2067.0,0.0,0.0
SeasonalNaive-Point,314,48,93.0,93.0,0.0,0.0
SeasonalNaive-Point,314,168,1439.0,1439.0,0.0,0.0
SeasonalNaive-Point,317,24,5.0,5.0,0.0,0.0
SeasonalNaive-Point,317,48,8.0,8.0,0.0,0.0
SeasonalNaive-Point,317,168,22.0,22.0,0.0,0.0
SeasonalNaive-Point,240,24,15.0,15.0,0.0,0.0
SeasonalNaive-Point,240,48,82.0,82.0,0.0,0.0
SeasonalNaive-Point,240,168,92.0,92.0,0.0,0.0
SeasonalNaive-Point,26,24,18.0,18.0,0.0,0.0
SeasonalNaive-Point,26,48,8.0,8.0,0.0,0.0
SeasonalNaive-Point,26,168,8.0,8.0,0.0,0.0
SeasonalNaive-Point,203,24,35.0,35.0,0.0,0.0
SeasonalNaive-Point,203,48,81.0,81.0,0.0,0.0
SeasonalNaive-Point,203,168,36.0,36.0,0.0,0.0
SeasonalNaive-Point,134,24,250.0,250.0,0.0,0.0
SeasonalNaive-Point,134,48,31.0,31.0,0.0,0.0
SeasonalNaive-Point,134,168,18.0,18.0,0.0,0.0
SeasonalNaive-Point,133,24,371.0,371.0,0.0,0.0
SeasonalNaive-Point,133,48,816.0,816.0,0.0,0.0
SeasonalNaive-Point,133,168,220.0,220.0,0.0,0.0
SeasonalNaive-Point,220,24,55.0,55.0,0.0,0.0
SeasonalNaive-Point,220,48,21.0,21.0,0.0,0.0
SeasonalNaive-Point,220,168,40.0,40.0,0.0,0.0
SeasonalNaive-Point,29,24,78.0,78.0,0.0,0.0
SeasonalNaive-Point,29,48,86.0,86.0,0.0,0.0
SeasonalNaive-Point,29,168,52.0,52.0,0.0,0.0
SeasonalNaive-Point,62,24,8.0,8.0,0.0,0.0
SeasonalNaive-Point,62,48,31.0,31.0,0.0,0.0
SeasonalNaive-Point,62,168,9.0,9.0,0.0,0.0
SeasonalNaive-Point,269,24,0.0,0.0,0.0,0.0
SeasonalNaive-Point,269,48,0.0,0.0,0.0,0.0
SeasonalNaive-Point,269,168,0.0,0.0,0.0,0.0
