client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec
313,24,43697835.3202,5126.3857,6610.4338,0,2.1512
313,48,123240713.1614,8494.703,11101.3834,0,1.7671
313,168,1955248874.685,28989.2081,44218.1962,0,2.3676
155,24,12091907.1093,2862.4521,3477.342,0,1.6042
155,48,8730681.3962,2428.5131,2954.7726,0,1.6775
155,168,104507586.5593,6674.6082,10222.8952,0,2.3854
236,24,31903461.27,4599.875,5648.3149,0,1.7678
236,48,20512524.7853,3564.1223,4529.0755,0,1.8155
236,168,18965852.1244,3709.9844,4354.9802,0,2.5986
167,24,737680.7516,678.5282,858.8834,0,1.8268
167,48,984154.9239,852.8067,992.0458,0,1.7865
167,168,4743398.9233,1741.4669,2177.9346,0,2.3886
186,24,566495.9025,600.7794,752.6592,0,1.6566
186,48,2433422.8273,1109.9761,1559.9432,0,1.7226
186,168,3617375.0559,1508.1427,1901.9398,0,2.4378
315,24,2147922.6805,1111.524,1465.5793,0,1.8531
315,48,3121795.8423,1173.5866,1766.8604,0,1.9808
315,168,3674943.0994,1219.7453,1917.0141,0,2.5994
290,24,609221.8438,520.9719,780.5266,0,1.5191
290,48,659591.3196,602.2167,812.1523,0,5.7539
290,168,3321042.6477,1089.5842,1822.3728,0,4.1656
179,24,411689.5559,474.5846,641.6304,0,4.4959
179,48,340962.9279,464.0289,583.9203,0,2.8697
179,168,712091.2241,725.1149,843.855,0,3.8386
119,24,32169.3637,141.0015,179.3582,0,1.7106
119,48,78426.266,225.2491,280.0469,0,2.0129
119,168,277501.0351,418.8226,526.7837,0,4.9343
314,24,230879.9009,385.4187,480.4996,0,3.419
314,48,249835.4887,385.6601,499.8355,0,1.8469
314,168,2542923.5398,971.9586,1594.6547,0,4.4978
317,24,379.0424,11.8139,19.469,0,2.2706
317,48,491.3848,12.8259,22.1672,0,1.9703
317,168,1104.652,19.591,33.2363,0,2.6449
240,24,5083.9407,45.8871,71.3018,0,1.995
240,48,3927.3045,44.4252,62.6682,0,2.209
240,168,5578.0478,61.9068,74.6863,0,4.5694
26,24,735.3468,20.7039,27.1173,0,3.3145
26,48,1716.0124,27.4462,41.4248,0,2.2435
26,168,1796.1243,31.0752,42.3807,0,3.079
203,24,1184.7101,28.9603,34.4196,0,2.1435
203,48,1296.2816,29.0225,36.0039,0,2.0986
203,168,4047.1207,48.2984,63.617,0,4.0385
134,24,9986.4433,72.7168,99.9322,0,3.6555
134,48,12979.873,84.4561,113.9292,0,2.0211
134,168,18421.3042,101.0691,135.7251,0,3.3169
133,24,3059432.3155,1409.8417,1749.1233,0,2.2785
133,48,3043916.8736,1399.9488,1744.6825,0,2.4054
133,168,3273983.9629,1548.1694,1809.4154,0,4.0866
220,24,1279.3271,28.7749,35.7677,0,1.901
220,48,1385.0299,29.1011,37.216,0,3.1735
220,168,4554.4444,52.1416,67.4866,0,7.1398
29,24,11167.844,93.493,105.678,0,2.3562
29,48,11663.2518,96.0789,107.9965,0,3.5689
29,168,13076.5113,104.3139,114.3526,0,3.0403
62,24,154.8939,9.6646,12.4456,0,1.8416
62,48,230.0318,9.9643,15.1668,0,1.9712
62,168,197.1561,10.2159,14.0412,0,2.5175
269,24,88.8434,7.6188,9.4257,0,1.8333
269,48,101.7576,8.0926,10.0875,0,1.8231
269,168,464.9599,10.5781,21.5629,0,2.5402
