client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec
313,24,1191040883.0977,25910.1636,34511.4602,0.58,0.1949
313,48,1813514959.6936,32948.6447,42585.3843,0.58,0.4451
313,168,6847326657.6149,68055.5597,82748.575,0.58,1.3666
155,24,50224581.7706,5568.7241,7086.9303,1.12,0.3127
155,48,68852466.4731,5866.8,8297.7386,1.12,0.3883
155,168,169200201.196,9927.6914,13007.6978,1.12,1.3384
236,24,8456956.5414,2384.5699,2908.0847,0.72,0.1783
236,48,15621788.3987,3173.4168,3952.4408,0.72,0.4576
236,168,27051904.5419,4229.6404,5201.1445,0.72,1.4747
167,24,6434124.9593,1900.6348,2536.5577,0.76,0.1973
167,48,7307052.171,2039.3623,2703.156,0.76,0.4095
167,168,11844070.3917,2896.796,3441.5215,0.76,1.6209
186,24,15996097.0244,2841.3528,3999.5121,1.52,0.2131
186,48,12185625.5852,2544.549,3490.7915,1.52,0.3867
186,168,22511341.4241,3776.9269,4744.6118,1.52,1.2065
315,24,21518958.8826,3268.9666,4638.8532,0.35,0.1917
315,48,31262190.4117,4064.851,5591.2602,0.35,0.3422
315,168,43936215.6246,5367.4633,6628.4399,0.35,1.2677
290,24,2559455.2245,1328.425,1599.8297,0.62,0.1865
290,48,3765033.9396,1628.8516,1940.3695,0.62,0.3662
290,168,10070035.4104,2494.276,3173.3319,0.62,1.1804
179,24,4059054.9128,1551.2108,2014.7096,0.91,0.182
179,48,4499939.2521,1611.7298,2121.306,0.91,0.3848
179,168,6371697.1795,1934.6807,2524.2221,0.91,1.3586
119,24,136636.155,338.7548,369.6433,0.26,0.1781
119,48,234395.6523,430.0631,484.1442,0.26,0.5357
119,168,247054.688,454.0443,497.046,0.26,1.3675
314,24,2287960.9271,1172.4304,1512.6007,0.95,0.1783
314,48,3577411.6755,1522.3341,1891.4047,0.95,0.4243
314,168,7946540.6094,2286.5561,2818.9609,0.95,1.3145
317,24,319.1049,14.315,17.8635,0.43,0.1852
317,48,354.7924,13.3419,18.8359,0.43,0.4042
317,168,305.2889,11.5354,17.4725,0.43,1.4211
240,24,4197.2478,50.0895,64.7862,0.36,0.1842
240,48,9064.8577,71.0495,95.2095,0.36,0.4035
240,168,17212.2228,95.4463,131.1954,0.36,1.4561
26,24,988.5357,26.4656,31.441,0.94,0.1883
26,48,1635.9024,29.4853,40.4463,0.94,0.4415
26,168,1619.8165,32.1659,40.2469,0.94,1.7245
203,24,7813.8701,66.5606,88.3961,0.88,0.2136
203,48,10000.4834,76.3847,100.0024,0.88,0.5991
203,168,11851.9533,86.7875,108.8667,0.88,1.2531
134,24,12181.99,86.1997,110.3721,1.31,0.2319
134,48,12662.523,86.359,112.5279,1.31,0.3697
134,168,14467.1272,90.6752,120.2794,1.31,1.5575
133,24,1023839.2719,879.4662,1011.8494,0.39,0.1877
133,48,1217142.1593,961.5573,1103.2417,0.39,0.4535
133,168,1387383.4207,950.7507,1177.8724,0.39,1.3537
220,24,5941.6065,56.875,77.0818,0.81,0.189
220,48,7670.2226,66.2958,87.5798,0.81,0.4613
220,168,13783.6883,91.7681,117.404,0.81,1.5213
29,24,4312.2112,50.6155,65.6674,1.0,0.2098
29,48,6718.4768,60.5122,81.9663,1.0,0.5473
29,168,7364.5095,66.5663,85.8167,1.0,1.7156
62,24,446.1064,17.3574,21.1212,1.16,0.2016
62,48,735.7888,22.4587,27.1254,1.16,0.4013
62,168,815.5139,23.8208,28.5572,1.16,1.7122
269,24,1271.7174,29.0285,35.6611,0.44,0.1966
269,48,1490.8596,32.2144,38.6117,0.44,0.3649
269,168,3713.3435,44.0084,60.9372,0.44,1.6228
