model,model_label,horizon,With Client 313,Without Client 313
arima,ARIMA,24,4133.748645000001,2959.4987684210523
arima,ARIMA,48,4524.91688,3052.9990578947372
arima,ARIMA,168,7180.777494999999,3611.0403947368422
xgboost,XGB,24,3135.121065,1483.7347947368419
xgboost,XGB,48,3738.1771350000004,1693.5872842105266
xgboost,XGB,168,6333.709989999999,2311.8749894736843
lstm,LSTM,24,1712.3060099999998,980.127747368421
lstm,LSTM,48,1832.92967,984.8919000000001
lstm,LSTM,168,3324.375155,1309.0646157894737
itransformer,iTrans.,24,1381.9159450000002,961.803552631579
itransformer,iTrans.,48,1545.8310000000001,954.0909315789476
itransformer,iTrans.,168,3361.211320000001,1314.7202210526316
tabpfn,TabPFN,24,1152.9953799999998,865.7617789473684
tabpfn,TabPFN,48,1363.568925,851.0523736842106
tabpfn,TabPFN,168,3597.8565200000003,1459.9439052631578
