model,model_label,horizon,RMSE,MAE,train_time_sec,inference_time_sec
tabpfn,TabPFN-TS,24,1152.99538,911.549805,0.0,2.2797
itransformer,iTransformer,24,1381.9159450000002,1058.540435,1096.9,0.004273
lstm,LSTM,24,1712.3060099999998,1358.48472,227.205,0.00427395
xgboost,XGBoost,24,3135.1210650000003,2377.11029,0.7755,0.20004
arima,ARIMA,24,4133.748645,3039.88564,11.5385,0.003175
tabpfn,TabPFN-TS,48,1363.568925,1052.11121,0.0,2.3359
itransformer,iTransformer,48,1545.831,1163.0843300000001,1096.9,0.004273
lstm,LSTM,48,1832.92967,1428.23604,227.205,0.00427395
xgboost,XGBoost,48,3738.1771349999995,2862.51306,0.7755,0.429335
arima,ARIMA,48,4524.91688,3486.524125,11.5385,0.001885
lstm,LSTM,168,3324.375155,2441.56236,227.205,0.00427395
itransformer,iTransformer,168,3361.21132,2358.02506,1096.9,0.004273
tabpfn,TabPFN-TS,168,3597.85652,2451.799765,0.0,3.45934
xgboost,XGBoost,168,6333.70999,5145.85797,0.7755,1.441685
arima,ARIMA,168,7180.777494999999,5824.05671,11.5385,0.004555
