model_a,model_b,horizon,n_clients,mean_diff,median_diff,rel_diff_pct,ci_low,ci_high,ci_crosses_zero,pct_clients_a_better,wilcoxon_p
iTransformer,LSTM,24,20,-977.81,-227.76,-46.34,-2126.21,-257.43,False,85.0,0.0004
iTransformer,LSTM,48,20,-861.01,-121.71,-41.11,-1784.55,-257.38,False,80.0,0.0012
iTransformer,LSTM,168,20,-255.37,-4.94,-7.69,-585.15,-3.53,False,60.0,0.4749
iTransformer,SeasonalNaive,24,20,-108.4,-15.37,-8.74,-592.15,359.67,True,65.0,0.2305
iTransformer,SeasonalNaive,48,20,-218.5,-5.98,-15.05,-657.0,122.11,True,55.0,0.33
iTransformer,SeasonalNaive,168,20,-276.14,-9.54,-8.26,-758.18,2.26,True,60.0,0.165
LSTM,SeasonalNaive,24,20,869.41,142.19,70.07,290.83,1683.86,False,30.0,0.0064
LSTM,SeasonalNaive,48,20,642.52,9.62,44.25,193.49,1223.7,False,45.0,0.0897
LSTM,SeasonalNaive,168,20,-20.78,1.93,-0.62,-661.12,497.15,True,50.0,0.6742
TabPFN-TS,SeasonalNaive,24,20,-205.47,-52.4,-16.56,-834.92,361.26,True,80.0,0.0083
TabPFN-TS,SeasonalNaive,48,20,-177.88,-82.28,-12.25,-486.16,127.5,True,85.0,0.002
TabPFN-TS,SeasonalNaive,168,20,-14.45,-6.14,-0.43,-91.21,72.08,True,70.0,0.1327
TabPFN-TS,iTransformer,24,20,-97.07,-10.6,-8.57,-283.95,71.49,True,65.0,0.2455
TabPFN-TS,iTransformer,48,20,40.62,-10.99,3.29,-114.26,226.12,True,60.0,0.6742
TabPFN-TS,iTransformer,168,20,261.7,-3.35,8.53,-44.02,791.57,True,55.0,0.9273
XGBoost,SeasonalNaive,24,20,232.28,28.67,18.72,-50.52,598.72,True,35.0,0.2305
XGBoost,SeasonalNaive,48,20,752.08,143.45,51.8,309.89,1292.23,False,5.0,0.0
XGBoost,SeasonalNaive,168,20,1479.2,491.14,44.24,641.25,2536.19,False,0.0,0.0
