model,horizon,mean,median,q25,q75,iqr,nmae_mean,nmae_median
TabPFN-TS,24,1035.2805,235.6631,32.726,699.7522,667.0262,0.0559,0.0454
SeasonalNaive,24,1240.7512,369.5409,42.1938,1024.4656,982.2718,0.0845,0.05
iTransformer,24,1132.3469,310.4647,32.0409,995.269,963.2281,0.0849,0.0529
LSTM,24,2110.1598,788.0106,41.1678,2426.7954,2385.6277,0.11,0.0858
XGBoost,24,1473.0323,494.0024,87.8489,1704.6506,1616.8017,0.1773,0.0896
ARIMA,24,4352.4729,1068.0317,102.4636,4894.485,4792.0214,0.2519,0.1649
TabPFN-TS,48,1274.0453,365.1478,40.275,856.2922,816.0171,0.0602,0.0471
SeasonalNaive,48,1451.9262,621.7979,58.9035,1452.7047,1393.8012,0.0828,0.0603
iTransformer,48,1233.428,373.2775,34.009,1093.5502,1059.5411,0.0914,0.0568
LSTM,48,2094.4429,784.0034,42.9228,2575.1556,2532.2328,0.1126,0.0804
XGBoost,48,2204.0058,825.3662,116.1937,2231.8214,2115.6277,0.2484,0.1177
ARIMA,48,4707.8672,1013.9104,116.0653,5078.2576,4962.1923,0.2643,0.1816
TabPFN-TS,168,3329.0063,624.4468,45.3272,1667.8732,1622.546,0.0803,0.064
SeasonalNaive,168,3343.4513,717.3341,62.327,1904.0338,1841.7068,0.0907,0.068
iTransformer,168,3067.3101,608.09,54.6068,1688.7932,1634.1863,0.1003,0.0689
LSTM,168,3322.6756,742.4582,58.3009,2568.5113,2510.2104,0.1171,0.0811
ARIMA,168,7277.4699,1119.1212,113.9481,6359.439,6245.491,0.2965,0.235
XGBoost,168,4822.6473,1418.0262,136.6874,3246.4976,3109.8102,0.3418,0.1692
