client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,uses_future_exog
313,24,319162062.968,14846.1729,17865.1074,394.05,0.0063,lstm_exog,past_exog_context_only,False
313,48,318180591.2987,14577.8851,17837.6173,394.05,0.0063,lstm_exog,past_exog_context_only,False
313,168,1529997893.329,28901.1759,39115.1875,394.05,0.0063,lstm_exog,past_exog_context_only,False
155,24,19180469.6678,3919.6185,4379.5513,689.86,0.0068,lstm_exog,past_exog_context_only,False
155,48,20789850.8605,3966.3066,4559.5889,689.86,0.0068,lstm_exog,past_exog_context_only,False
155,168,56829488.2971,5570.5927,7538.5336,689.86,0.0068,lstm_exog,past_exog_context_only,False
236,24,27643636.0955,3985.6237,5257.7216,392.21,0.0067,lstm_exog,past_exog_context_only,False
236,48,18238575.9198,3206.6984,4270.6646,392.21,0.0067,lstm_exog,past_exog_context_only,False
236,168,14560792.4897,3016.362,3815.8606,392.21,0.0067,lstm_exog,past_exog_context_only,False
167,24,2800974.9477,1449.3787,1673.6113,461.06,0.0061,lstm_exog,past_exog_context_only,False
167,48,2456426.7923,1330.8568,1567.2992,461.06,0.0061,lstm_exog,past_exog_context_only,False
167,168,2611758.1654,1302.429,1616.0935,461.06,0.0061,lstm_exog,past_exog_context_only,False
186,24,2493492.2731,1457.8951,1579.0796,575.72,0.0062,lstm_exog,past_exog_context_only,False
186,48,2789756.0816,1468.7399,1670.2563,575.72,0.0062,lstm_exog,past_exog_context_only,False
186,168,2626074.4716,1389.3222,1620.5167,575.72,0.0062,lstm_exog,past_exog_context_only,False
315,24,8865722.0126,2525.2042,2977.5362,456.0,0.0062,lstm_exog,past_exog_context_only,False
315,48,10309493.8664,2454.1558,3210.8401,456.0,0.0062,lstm_exog,past_exog_context_only,False
315,168,10708645.5508,2487.7039,3272.4067,456.0,0.0062,lstm_exog,past_exog_context_only,False
290,24,5665772.6697,1946.6151,2380.2884,671.35,0.006,lstm_exog,past_exog_context_only,False
290,48,6495451.3014,2044.3294,2548.6175,671.35,0.006,lstm_exog,past_exog_context_only,False
290,168,13217274.7306,2827.9797,3635.557,671.35,0.006,lstm_exog,past_exog_context_only,False
179,24,1031052.9576,912.4912,1015.4078,820.52,0.0062,lstm_exog,past_exog_context_only,False
179,48,1217344.9471,996.1739,1103.3336,820.52,0.0062,lstm_exog,past_exog_context_only,False
179,168,1208669.2954,924.6209,1099.395,820.52,0.0062,lstm_exog,past_exog_context_only,False
119,24,314287.4306,505.4496,560.6134,333.86,0.006,lstm_exog,past_exog_context_only,False
119,48,215921.0496,401.0204,464.6731,333.86,0.006,lstm_exog,past_exog_context_only,False
119,168,148626.7808,309.6648,385.5214,333.86,0.006,lstm_exog,past_exog_context_only,False
314,24,6585981.1292,1706.0763,2566.3166,1096.56,0.0062,lstm_exog,past_exog_context_only,False
314,48,7047802.7966,1687.3012,2654.7698,1096.56,0.0062,lstm_exog,past_exog_context_only,False
314,168,5446993.4564,1407.8146,2333.8795,1096.56,0.0062,lstm_exog,past_exog_context_only,False
317,24,212.1481,11.8456,14.5653,831.87,0.0063,lstm_exog,past_exog_context_only,False
317,48,189.8191,11.1341,13.7775,831.87,0.0063,lstm_exog,past_exog_context_only,False
