client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,uses_future_exog,future_exog_strategy
313,24,107897139.2589,8410.6914,10387.3548,1.31,0.0972,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
313,48,294080287.9705,13036.185,17148.7693,1.31,0.2393,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
313,168,2796263125.2039,40097.0532,52879.7043,1.31,0.6592,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
155,24,20315622.5573,3441.6729,4507.2855,1.04,0.0975,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
155,48,33550418.4068,3906.4547,5792.2723,1.04,0.2048,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
155,168,100486215.5771,7192.5615,10024.2813,1.04,0.6848,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
236,24,4798239.7531,1578.7331,2190.4885,0.7,0.0941,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
236,48,25861758.455,3349.0663,5085.4457,0.7,0.1837,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
236,168,81958480.192,6230.5556,9053.0923,0.7,0.6421,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
167,24,2555520.0293,1308.2821,1598.5994,0.89,0.0957,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
167,48,3758979.794,1480.6554,1938.8089,0.89,0.1896,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
167,168,8075807.7097,2274.4917,2841.7966,0.89,0.6629,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
186,24,14897641.2624,2789.1874,3859.7463,1.09,0.0933,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
186,48,16324296.4527,2997.4156,4040.3337,1.09,0.219,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
186,168,33659148.2799,4405.6864,5801.6505,1.09,0.7034,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
315,24,4091736.3191,1535.2758,2022.8041,0.91,0.0956,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
315,48,9677443.7146,2309.4192,3110.859,0.91,0.1934,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
315,168,19896956.7363,3433.2524,4460.6005,0.91,0.6923,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
290,24,409539.2336,558.4203,639.9525,2.09,0.1017,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
290,48,1152510.6288,897.9071,1073.5505,2.09,0.1955,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
290,168,5646144.7842,1757.8356,2376.1618,2.09,0.6969,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
179,24,1149567.4735,828.9965,1072.1788,1.56,0.1203,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
179,48,2830990.7232,1290.7487,1682.5548,1.56,0.2053,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
179,168,6123170.8756,1951.7267,2474.5042,1.56,0.6867,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
119,24,121140.4238,230.8974,348.0523,0.67,0.0954,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
119,48,368631.4605,408.091,607.1503,0.67,0.1859,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
119,168,703592.9144,673.2754,838.8045,0.67,0.6588,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
314,24,568635.6356,599.3138,754.0793,1.1,0.0905,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
314,48,1089063.3557,814.8987,1043.582,1.1,0.1868,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
314,168,5974178.6551,1773.8197,2444.2133,1.1,0.6488,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
317,24,5684.0999,67.0961,75.393,0.53,0.0983,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
317,48,8763.1623,86.458,93.6118,0.53,0.1862,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
317,168,10019.7579,95.8541,100.0987,0.53,0.6696,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
240,24,11852.9744,71.8771,108.8714,1.43,0.1107,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
240,48,18428.8346,90.0714,135.7528,1.43,0.2235,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
240,168,24030.9202,105.8703,155.0191,1.43,0.788,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
26,24,2175.4191,39.1993,46.6414,0.99,0.0947,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
26,48,8496.3325,75.9696,92.1756,0.99,0.2057,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
26,168,43490.1555,187.644,208.5429,0.99,0.6618,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
203,24,15142.6423,85.0165,123.0554,0.63,0.0948,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
203,48,16215.4517,87.6939,127.3399,0.63,0.1858,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
203,168,18900.1363,98.5107,137.4778,0.63,0.6397,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
134,24,5011.3634,56.7645,70.791,2.38,0.0994,xgboost_exog_past_weather,past_exog_context_only,False,persistence_from_last_validation_observation
